MEAN,SIGMA,D_MEAN,D_SIGMA,Y
1355.248,30.73915044,10.46,0.574997381,-5.62
1342.422,21.89318547,-5.62,-8.845964974,7.84
1334.084,5.149415501,7.84,-16.74376997,9.73
1336.528,8.485241305,9.73,3.335825804,18.35
1344.68,14.10266641,18.35,5.61742511,-18.35
1347.07,13.45436546,-18.35,-0.648300952,1.13
1350.81,10.16931414,1.13,-3.285051326,-1.21
1352.74,8.104532682,-1.21,-2.064781454,11.25
1354.974,8.304663148,11.25,0.200130466,-17.5
1350.038,6.308380933,-17.5,-1.996282215,10.58
1350.888,6.395695427,10.58,0.087314494,18.69
1355.25,11.23598905,18.69,4.840293626,9.49
1361.752,15.24656092,9.49,4.010571871,-1.27
1365.75,17.18040308,-1.27,1.933842157,-12.34
1370.78,11.38767975,-12.34,-5.792723334,-37.05
1366.284,20.72100697,-37.05,9.333327227,0.71
1358.192,25.40027106,0.71,4.679264088,-4.59
1347.284,24.7025025,-4.59,-0.697768557,6.95
1338.02,16.7677175,6.95,-7.93478501,-29.36
1325.352,12.00896623,-29.36,-4.758751262,-10.97
1317.9,17.98743033,-10.97,5.9784641,-20
1306.306,24.61896484,-20,6.631534511,47.28
1305.086,23.4772492,47.28,-1.141715644,-11.88
1300.1,17.85521492,-11.88,-5.622034276,6.71
1302.328,19.1636484,6.71,1.308433476,-27.34
1301.282,19.90329546,-27.34,0.739647056,-11.54
1301.928,18.79228219,-11.54,-1.111013263,54.14
1303.946,21.63247512,54.14,2.840192932,-32.32
1301.876,21.55050533,-32.32,-0.081969794,31.09
1304.682,24.47906289,31.09,2.92855756,20.37
1317.03,29.17085018,20.37,4.691787286,3.11
1332.308,21.766972,3.11,-7.403878177,-11.86
1334.386,22.07364333,-11.86,0.306671334,-15.37
1339.854,12.04514965,-15.37,-10.02849369,-10.54
1336.996,16.11937747,-10.54,4.074227823,7.48
1331.56,15.24766376,7.48,-0.871713714,47.48
1334.998,21.81241206,47.48,6.564748307,-2.65
1340.278,26.384005,-2.65,4.57159294,1.78
1348.988,27.55552159,1.78,1.171516585,1.09
1360.024,20.89531359,1.09,-6.660207999,2.14
1369.992,1.818012651,2.14,-19.07730094,-7
1369.064,2.678605981,-7,0.86059333,-11.05
1366.456,7.154364402,-11.05,4.475758422,6.06
1364.704,7.350641469,6.06,0.196277066,-27.72
1357.19,15.14376274,-27.72,7.793121274,-4.51
1348.346,16.76385188,-4.51,1.620089142,6.11
1342.124,14.39237576,6.11,-2.371476125,30.28
1344.168,17.06518151,30.28,2.672805751,0.85
1345.17,18.36511231,0.85,1.299930795,24.77
1356.67,25.37227522,24.77,7.007162917,-2.16
1368.64,22.62262363,-2.16,-2.749651591,-12.23
1376.942,12.09837055,-12.23,-10.52425308,3.99
1379.986,9.98071791,3.99,-2.117652641,8.89
1384.638,6.328180623,8.89,-3.652537287,9.02
1386.14,8.526391382,9.02,2.198210759,-1.47
1387.78,9.719585897,-1.47,1.193194514,-5.43
1390.78,7.118310895,-5.43,-2.601275001,-5.35
