MEAN,SIGMA,D_MEAN,D_SIGMA,Y
1391.912,5.135364641,-5.35,-1.982946254,23.75
1396.016,8.880435237,23.75,3.745070596,4.56
1399.228,12.04547923,4.56,3.165043998,-6.41
1401.452,12.40701294,-6.41,0.361533701,10.77
1406.916,12.63394356,10.77,0.226930629,-25.69
1408.312,9.74335004,-25.69,-2.890593525,5.11
1405.98,10.77639782,5.11,1.033047781,-9.4
1400.856,12.08107735,-9.4,1.304679531,15.3
1400.074,11.66364351,15.3,-0.41743384,-0.54
1397.03,6.631349787,-0.54,-5.032293726,5.62
1400.248,7.737681823,5.62,1.106332036,14.91
1405.426,12.6762526,14.91,4.938570777,1.78
1412.84,10.85003456,1.78,-1.826218039,1.28
1417.45,10.82876955,1.28,-0.021265011,-13.23
1419.522,8.005271388,-13.23,-2.823498163,-22.69
1415.932,15.03367287,-22.69,7.028401483,3.64
1410.088,16.8873272,3.64,1.85365433,-18.42
1400.204,19.9129375,-18.42,3.025610302,9.42
1391.948,13.85280188,9.42,-6.06013562,5.49
1387.436,7.191125086,5.49,-6.661676797,7.42
1388.946,8.687469712,7.42,1.496344626,2.12
1390.152,9.951752107,2.12,1.264282395,-14.71
1392.1,6.982102119,-14.71,-2.969649988,-8.02
1390.56,9.305656882,-8.02,2.323554763,-0.45
1387.832,11.04063268,-0.45,1.734975799,26.85
1388.99,12.6011686,26.85,1.560535915,-43.37
1381.05,15.74534693,-43.37,3.144178335,1.08
1376.268,17.52202814,1.08,1.776681204,-3.32
1372.426,19.17165042,-3.32,1.649622288,-22.95
1364.084,24.81804243,-22.95,5.646392004,4.38
1351.248,12.53956817,4.38,-12.27847425,20.16
1351.118,12.42013969,20.16,-0.119428481,0.11
1350.794,12.08986063,0.11,-0.330279065,-9.21
1349.292,11.34610153,-9.21,-0.743759095,-13.12
1349.756,10.66771672,-13.12,-0.678384814,5.02
1350.348,10.04595541,5.02,-0.621761314,-24.9
1341.928,15.86181326,-24.9,5.815857858,0.07
1333.5,14.93406174,0.07,-0.927751525,-3.71
1326.172,13.12274819,-3.71,-1.81131355,7.68
1323.004,11.41116471,7.68,-1.711583479,-38.82
1311.068,15.84131686,-38.82,4.430152156,-4.77
1303.158,20.69037868,-4.77,4.849061817,1.62
1295.558,20.85410679,1.62,0.163728108,4.91
1289.682,18.23067662,4.91,-2.62343017,-23.39
1277.592,9.343086749,-23.39,-8.88758987,1.38
1273.542,10.63160477,1.38,1.288518022,-10.59
1268.328,13.63439291,-10.59,3.002788138,21.39
1267.068,12.5326721,21.39,-1.101720808,-29.01
1259.024,11.03607403,-29.01,-1.496598071,8.7
1257.398,11.17443824,8.7,0.138364211,-13.9
1252.716,13.0411955,-13.9,1.866757256,-11.19
1247.914,17.03651461,-11.19,3.995319111,-13.39
1236.156,14.95045752,-13.39,-2.08605709,30.45
1236.29,15.04874912,30.45,0.098291599,14.96
1237.676,17.18491577,14.96,2.136166652,0.36
1241.914,20.10830376,0.36,2.923387988,-0.68
1248.254,19.73676721,-0.68,-0.371536545,17
1260.672,11.19862134,17,-8.538145869,5.19
1268.038,10.71113533,5.19,-0.487486016,-29.65
1266.482,12.52426126,-29.65,1.813125928,5.22
1265.898,12.92413711,5.22,0.399875853,-23.39
1260.772,19.33896507,-23.39,6.414827962,28.83
1258.012,17.32369389,28.83,-2.01527118,21.06
1258.426,18.05523691,21.06,0.731543023,-16.88
1261.394,18.06550802,-16.88,0.010271106,-7.07
1261.904,17.97302785,-7.07,-0.092480172,-11.3
1264.832,12.81978042,-11.3,-5.153247428,35.87
1269.168,15.51323209,35.87,2.693451675,4.31
1270.154,16.81437272,4.31,1.301140627,-23.12
1269.892,16.8784869,-23.12,0.064114178,30.25
1277.094,19.27961177,30.25,2.401124871,9
1288.356,14.6683888,9,-4.61122297,-15.73
1289.298,14.54002992,-15.73,-0.128358883,-3.76
1288.626,14.62367362,-3.76,0.083643698,7.1
1293.998,7.430792017,7.1,-7.192881598,5.27
1294.374,7.622744256,5.27,0.191952239,-19.6
1289.03,7.393196197,-19.6,-0.22954806,-11.91
1284.45,12.37454444,-11.91,4.98134824,7.85
1282.192,13.07027429,7.85,0.695729853,3.18
1279.15,11.63780048,3.18,-1.43247381,14.48
1277.95,9.245993727,14.48,-2.391806752,-25.36
1275.598,10.4559036,-25.36,1.209909869,4.67
1276.562,9.617906217,4.67,-0.837997379,10.15
1277.986,9.769579315,10.15,0.151673098,19.02
1282.578,14.06496783,19.02,4.295388512,-17.85
1280.704,13.05004329,-17.85,-1.014924533,-5.25
1282.852,10.9052038,-5.25,-2.144839491,-2.6
1283.546,10.08232513,-2.6,-0.822878675,-38.15
1274.58,23.36394123,-38.15,13.28161611,5.48
1262.906,21.57676134,5.48,-1.787179893,25.48
1259.898,18.99917025,25.48,-2.577591097,-43.28
1249.284,21.33217242,-43.28,2.333002171,7.53
1240.696,16.49658086,7.53,-4.835591558,17.01
1243.14,16.6847715,17.01,0.188190642,2.65
1245.018,17.09149408,2.65,0.406722584,-59
1230,23.76649006,-59,6.674995981,20.89
1227.816,24.87309249,20.89,1.106602425,-57.2
1212.686,40.04350671,-57.2,15.17041422,50.12
1204.178,34.5246357,50.12,-5.518871018,48.57
1204.854,35.70080573,48.57,1.176170036,-47.99
1207.732,35.05016291,-47.99,-0.650642823,-18.87
1202.658,35.8180481,-18.87,0.767885195,-2.35
1208.554,27.83444503,-2.35,-7.983603077,23.31
1209.088,27.81102965,23.31,-0.023415381,3.83
1200.674,12.64866119,3.83,-15.16236845,-106.62
1180.534,43.1861208,-106.62,30.53745961,59.97
1176.162,43.31979882,59.97,0.133678019,-5.3
1171.2,43.35071453,-5.3,0.030915705,-46.78
1152.22,43.33976754,-46.78,-0.010946992,-15.05
1129.464,31.76743663,-15.05,-11.57233091,-42.34
1119.564,45.50056626,-42.34,13.73312963,-60.66
1085.538,62.27714806,-60.66,16.7765818,-11.29
1050.314,58.58008817,-11.29,-3.697059886,-75.02
1009.442,72.44434257,-75.02,13.8642544,-10.7
969.44,65.34320049,-10.7,-7.101142079,104.13
958.732,50.02003269,104.13,-15.3231678,-5.34
959.088,50.3588182,-5.34,0.338785508,-90.17
943.668,52.23311182,-90.17,1.874293621,38.59
950.97,48.77319192,38.59,-3.459919897,-5.88
959.236,40.63304419,-5.88,-8.140147731,44.85
955.646,36.32577088,44.85,-4.307273309,-30.35
947.054,27.90511118,-30.35,-8.420659699,-58.27
944.842,31.93764816,-58.27,4.03253698,11.33
937.178,35.82278283,11.33,3.885134674,-31.34
924.422,44.60175299,-31.34,8.778970158,-27.85
897.126,39.41491761,-27.85,-5.186835385,91.59
894.218,34.27405097,91.59,-5.140866636,-10.42
900.88,37.93800074,-10.42,3.663949767,24
910.076,45.03711447,24,7.099113734,14.66
928.472,46.78314675,14.66,1.746032279,-2.45
951.948,16.59424057,-2.45,-30.18890618,39.45
964.996,27.45018725,39.45,10.85594668,-52.98
969.532,21.46055032,-52.98,-5.98963693,-47.89
959.69,36.39822042,-47.89,14.9376701,26.11
952.138,37.93337805,26.11,1.535157623,-11.78
942.72,39.35721662,-11.78,1.423838573,-20.26
921.36,21.55078885,-20.26,-17.80642777,-46.65
901.266,30.08985427,-46.65,8.539065421,58.99
902.548,30.41709749,58.99,0.327243224,-38
891.008,27.757992,-38,-2.659105492,-22.54
877.316,27.24896292,-22.54,-0.509029086,8.37
869.35,25.07888853,8.37,-2.170074384,-52.54
860.206,37.90484573,-52.54,12.8259572,-54.14
828.436,49.25540711,-54.14,11.35056138,47.59
813.784,43.08710515,47.59,-6.168301967,51.78
813.996,43.31645565,51.78,0.229350501,5.58
813.65,42.87052192,5.58,-0.445933726,30.29
829.87,53.54096703,30.29,10.6704451,8.56
858.63,37.88279491,8.56,-15.65817212,-80.03
861.866,31.83379698,-80.03,-6.04899793,32.6
861.266,32.09789136,32.6,0.264094386,21.93
863.936,32.24975705,21.93,0.15186569,-25.52
855.444,29.94214471,-25.52,-2.307612341,30.85
851.41,23.80063339,30.85,-6.141511318,33.63
870.108,25.86739589,33.63,2.066762493,-21.03
878.08,23.71533154,-21.03,-2.152064349,10.57
883.78,24.90525948,10.57,1.189927946,-25.65
889.454,15.3058724,-25.65,-9.599387082,6.14
890.186,14.57587493,6.14,-0.729997472,-11.16
881.96,12.22645083,-11.16,-2.349424097,44.61
886.862,18.75806946,44.61,6.531618629,-8.76
887.898,19.73045032,-8.76,0.972380861,-19.14
890.236,18.24805825,-19.14,-1.482392071,2.6
891.866,17.42022331,2.6,-0.827834948,-16.25
892.478,16.42236341,-16.25,-0.997859894,-8.47
882.474,15.88512134,-8.47,-0.53724207,4.99
875.22,10.83738668,4.99,-5.047734663,4.65
872.724,9.264158354,4.65,-1.573228324,-3.38
869.032,3.753540995,-3.38,-5.510617359,21.22
872.834,10.53845719,21.22,6.784916198,12.61
880.852,15.44620892,12.61,4.907751727,28.55
893.582,25.38914571,28.55,9.942936792,-4.35
904.512,25.96276314,-4.35,0.57361743,7.25
917.568,19.51814207,7.25,-6.444621069,-28.05
920.77,14.71948539,-28.05,-4.798656688,3.08
922.066,12.97291525,3.08,-1.746570138,-19.38
913.776,17.61192437,-19.38,4.639009123,-20.09
902.338,23.94391509,-20.09,6.331990724,1.53
889.756,18.62519745,1.53,-5.318717645,-29.17
876.95,25.02008693,-29.17,6.394889482,1.12
863.752,20.3804973,1.12,-4.639589635,6.38
855.706,14.28413386,6.38,-6.09636344,-44.9
842.698,24.01625949,-44.9,9.732125637,35.02
836.388,17.80266609,35.02,-6.2135934,-12.74
833.364,17.76355482,-12.74,-0.039111268,4.45
831.006,16.79816002,4.45,-0.965394806,4.62
828.296,13.76231558,4.62,-3.035844443,9.14
836.394,7.079246429,9.14,-6.683069147,28.38
843.164,18.55731069,28.38,11.47806426,-28.95
846.692,16.38448107,-28.95,-2.172829617,-19.26
845.478,17.90425005,-19.26,1.519768982,-0.44
843.252,19.87235693,-0.44,1.968106877,13.07
841.812,19.91054419,13.07,0.03818726,-6.28
833.44,8.444119255,-6.28,-11.46642494,13.62
833.582,8.692379996,13.62,0.248260741,22.75
842.126,16.61452467,22.75,7.922144673,1.29
851.016,17.3307986,1.29,0.716273927,-42.73
848.746,19.92718319,-42.73,2.596384596,6.58
849.048,19.62343166,6.58,-0.303751536,1.45
846.916,20.61192689,1.45,0.98849523,-8.35
838.564,17.91282027,-8.35,-2.699106618,-37.67
822.42,18.96563867,-37.67,1.052818396,-0.75
814.672,23.83357233,-0.75,4.867933664,-9.48
803.712,25.4201489,-9.48,1.586576568,-8.89
790.684,21.67001223,-8.89,-3.750136669,-26.72
773.982,18.83294109,-26.72,-2.837071142,29.81
770.776,16.86238506,29.81,-1.970556025,-8.24
766.072,13.69250415,-8.24,-3.169880909,-12.07
760.85,12.48356319,-12.07,-1.20894096,-17.74
753.858,15.47461373,-17.74,2.991050534,-34.27
745.356,28.71683008,-34.27,13.24221636,-4.49
729.994,30.61971636,-4.49,1.902886278,16.54
719.588,23.89375693,16.54,-6.725959435,-30.32
705.532,19.76470136,-30.32,-4.129055561,0.83
695.19,12.69669839,0.83,-7.068002974,-6.85
690.332,14.52000758,-6.85,1.823309186,43.07
694.986,19.72095155,43.07,5.200943973,1.76
696.684,21.89176854,1.76,2.170816995,29.38
710.322,30.45202818,29.38,8.560259631,5.81
724.956,31.81859095,5.81,1.366562774,-2.66
740.428,18.3362747,-2.66,-13.48231625,24.23
752.132,20.29063257,24.23,1.954357864,16.23
766.73,18.82003321,16.23,-1.470599358,-10.31
773.39,17.59937925,-10.31,-1.220653959,-15.5
775.788,15.41215008,-15.5,-2.187229173,54.38
789.594,20.85073332,54.38,5.438583243,-16.8
795.194,20.75854234,-16.8,-0.092190982,7.76
799.1,22.33740361,7.76,1.578861271,18.98
808.864,24.65813213,18.98,2.320728518,-16.92
818.344,10.08447718,-16.92,-14.57365495,-28.41
811.266,16.46859982,-28.41,6.384122639,10.34
809.616,17.49441425,10.34,1.025814432,13.21
809.056,17.36815851,13.21,-0.126255742,23.3
809.36,17.89430217,23.3,0.526143657,8.12
814.672,23.4238163,8.12,5.529514133,-7.02
824.262,18.91523777,-7.02,-4.508578526,-19.93
827.798,13.6747,-19.93,-5.240537776,9.61
830.614,10.43800651,9.61,-3.236693482,31.4
835.05,15.78313657,31.4,5.345130056,2.17
838.296,19.03278041,2.17,3.249643836,-17.23
839.5,19.00049078,-17.23,-0.032289623,10.56
846.802,13.79881951,10.56,-5.201671268,13.24
854.83,8.848525301,13.24,-4.950294214,4.3
857.438,11.11684847,4.3,2.268323173,-37.21
852.17,15.66294353,-37.21,4.546095055,17.69
853.886,14.63819593,17.69,-1.024747602,-6.53
852.184,15.37954583,-6.53,0.741349905,8.37
849.508,13.58636338,8.37,-1.793182448,14.31
848.834,12.36954445,14.31,-1.21681893,-8.72
853.858,8.524779763,-8.72,-3.844764691,-2.35
854.874,8.260570804,-2.35,-0.264208959,18.48
860.892,8.885328919,18.48,0.624758116,-0.83
865.07,8.515571032,-0.83,-0.369757887,4.71
867.328,10.22526137,4.71,1.709690334,29.72
877.274,18.84266382,29.72,8.617402459,-3.44
887.002,17.04122707,-3.44,-1.801436756,15.73
896.18,20.12438198,15.73,3.08315491,-12.14
903.096,15.49447418,-12.14,-4.629907802,21.84
913.438,10.65814571,21.84,-4.836328465,-19.99
913.838,10.40183013,-19.99,-0.256315584,-0.89
914.748,9.460556009,-0.89,-0.941274118,-24.43
907.626,16.06153884,-24.43,6.600982834,9.15
904.762,17.33999048,9.15,1.278451642,-10.19
895.492,12.77864899,-10.19,-4.561341495,26.83
895.586,12.90615473,26.83,0.127505744,-1.58
895.542,12.85202202,-1.58,-0.054132713,-4.66
899.452,11.3141469,-4.66,-1.537875123,-15.14
898.504,12.15025843,-15.14,0.836111537,-1.33
899.328,10.90129442,-1.33,-1.248964015,23.33
899.452,11.05140353,23.33,0.150109112,-17.27
896.438,10.10770844,-17.27,-0.943695086,13.77
897.11,10.78134732,13.77,0.673638874,12.31
903.272,13.07030107,12.31,2.288953749,23.73
914.446,18.45442576,23.73,5.384124689,1.87
921.328,22.5068805,1.87,4.052454747,-12.98
929.068,16.0969522,-12.98,-6.409928308,10.7
936.194,10.8093145,10.7,-5.287637694,-2.37
940.384,5.097168822,-2.37,-5.71214568,-0.95
939.638,4.91195684,-0.95,-0.185211982,3.29
939.176,4.393373419,3.29,-0.518583421,-3.28
940.654,1.679889877,-3.28,-2.713483542,5.74
941.14,2.489437688,5.74,0.80954781,1.32
942.364,3.236538274,1.32,0.747100587,-22.49
939.28,9.104257246,-22.49,5.867718972,-11.75
933.188,14.84841136,-11.75,5.744154117,-1.26
927.5,17.24709831,-1.26,2.398686944,7.66
922.196,14.40600847,7.66,-2.841089838,2.86
917.2,5.691950457,2.86,-8.714058012,-28.19
911.064,10.98335013,-28.19,5.29139967,2.06
907.69,13.03500096,2.06,2.051650833,5.84
905.736,13.20034583,5.84,0.16534487,19.32
906.114,13.6712355,19.32,0.470889668,-1.36
905.648,13.05290466,-1.36,-0.618330839,8.33
912.486,13.73447414,8.33,0.681569486,-7.91
917.33,9.767957821,-7.91,-3.966516322,4.01
921.808,3.491327828,4.01,-6.276629994,-26.91
917.04,12.01293678,-26.91,8.521608949,2.3
913.004,14.38713766,2.3,2.374200882,-17.69
903.764,17.47160926,-17.69,3.084471598,-1.47
895.812,17.66848522,-1.47,0.196875965,3.12
887.682,9.129979189,3.12,-8.538506031,-3.55
884.224,8.222246044,-3.55,-0.907733146,21.92
884.69,9.250889146,21.92,1.028643103,4.79
889.652,12.77825771,4.79,3.52736856,26.84
900.276,21.43798568,26.84,8.659727974,8.06
911.888,24.95932832,8.06,3.521342637,-0.36
924.138,19.23712089,-0.36,-5.72220743,10.75
934.154,17.13314274,10.75,-2.103978151,3.45
943.902,8.868479013,3.45,-8.264663723,-0.51
948.18,7.080752079,-0.51,-1.787726934,22.22
955.29,13.06336672,22.22,5.982614639,2.97
963.066,13.53262835,2.97,0.46926163,2.92
969.276,13.80746646,2.92,0.274838111,-2.56
974.284,11.49141114,-2.56,-2.316055318,-4.47
978.5,2.805396585,-4.47,-8.686014555,11.6
980.592,4.265474182,11.6,1.460077597,0.73
982.236,5.121858061,0.73,0.856383879,15.15
986.326,10.45472764,15.15,5.332869577,3.02
991.532,12.55129157,3.02,2.096563928,-2.93
997.046,9.150411466,-2.93,-3.400880101,-5.64
999.112,7.203677533,-5.64,-1.946733933,13.4
1003.712,4.891315774,13.4,-2.312361759,-3.38
1004.606,5.050037624,-3.38,0.15872185,-12.75
1002.346,6.718800488,-12.75,1.668762865,11.46
1002.964,6.901429562,11.46,0.182629074,6.92
1006.094,7.111394378,6.92,0.209964816,-8.64
1004.816,6.687681212,-8.64,-0.423713166,-24.36
999.342,12.77857269,-24.36,6.090891478,9.94
998.406,13.39229928,9.94,0.61372659,6.79
996.536,12.73673742,6.79,-0.655561864,10.91
995.464,11.16111464,10.91,-1.575622776,18.76
999.872,17.79835161,18.76,6.637236969,-0.56
1009.04,16.59481244,-0.56,-1.203539167,2.43
1016.706,14.07123058,2.43,-2.523581864,0.12
1023.038,8.830428642,0.12,-5.240801937,2.86
1027.76,2.121827043,2.86,-6.708601599,-2.05
1028.32,1.946317035,-2.05,-0.175510008,-8.31
1027.33,3.936356183,-8.31,1.990039148,-22.58
1021.338,13.60068454,-22.58,9.664328359,-3.29
1014.664,17.16194424,-3.29,3.561259696,8.49
1009.116,14.9040575,8.49,-2.257886736,13.16
1006.61,11.37525384,13.16,-3.528803658,8.99
1007.564,12.93680138,8.99,1.561547539,7.98
1014.63,15.77216377,7.98,2.835362388,10.77
1024.508,15.67478772,10.77,-0.097376053,-1.41
1032.406,11.73261821,-1.41,-3.94216951,6.61
1038.994,9.541710014,6.61,-2.190908193,3.29
1044.442,7.359434082,3.29,-2.182275933,16.13
1051.52,10.42749491,16.13,3.068060824,-3.27
1055.79,11.00525556,-3.27,0.577760657,2.81
1060.904,9.214582465,2.81,-1.790673098,-3.64
1063.968,6.577900121,-3.64,-2.636682344,7
1067.774,2.795689539,7,-3.782210582,-10.79
1066.196,4.046792557,-10.79,1.251103018,-10.09
1063.254,8.052700168,-10.09,4.005907611,-6.4
1058.47,10.90546193,-6.4,2.852761766,18.6
1058.134,10.69083626,18.6,-0.214625671,-2.37
1055.924,7.998958057,-2.37,-2.691878206,-3.53
1055.166,7.581786069,-3.53,-0.417171988,-27.23
1050.98,13.82012844,-27.23,6.238342367,-4.64
1047.146,18.10399762,-4.64,4.283869188,15.25
1042.642,15.83963289,15.25,-2.264364738,14.26
1041.464,14.31490936,14.26,-1.524723527,2.86
1041.564,14.45235725,2.86,0.137447887,7.9
1048.69,15.94004705,7.9,1.487689804,6.01
1057.946,11.7951507,6.01,-4.144896353,4.7
1065.092,9.058960757,4.7,-2.736189941,-3
1068.786,7.382921508,-3,-1.676039249,18.83
1075.674,9.937954015,18.83,2.555032506,4.54
1081.89,11.55601359,4.54,1.618059571,-8.88
1085.128,10.0884424,-8.88,-1.467571189,10.23
1089.472,9.952972923,10.23,-0.135469474,-6.85
1093.046,4.177245504,-6.85,-5.775727419,-9.66
1090.922,6.741981904,-9.66,2.564736401,11.51
1090.192,6.150566641,11.51,-0.591415264,-13.31
1088.576,7.81250472,-13.31,1.661938079,-12.65
1082.384,10.40428902,-12.65,2.591784299,-3.54
1076.854,11.8830985,-3.54,1.478809482,-20.78
1069.1,18.80708377,-20.78,6.92398527,23.48
1063.74,13.35291728,23.48,-5.454166488,-29.92
1055.058,14.52393611,-29.92,1.171018821,6.69
1050.244,13.55350434,6.69,-0.970431762,2.53
1046.644,11.40190686,2.53,-2.151597486,1.09
1047.418,11.19070016,1.09,-0.211206701,20.13
1047.522,11.4081449,20.13,0.217444741,2.67
1054.144,12.72002083,2.67,1.311875936,23.78
1064.184,19.57244313,23.78,6.852422295,-0.07
1073.704,19.7335078,-0.07,0.16106467,5.5
1084.106,14.93249242,5.5,-4.801015373,-11.27
1088.228,11.30679309,-11.27,-3.625699333,6.24
1093.064,3.992308856,6.24,-7.314484235,15.82
1096.308,8.287699922,15.82,4.295391066,1.02
1099.77,10.00344941,1.02,1.715749483,-0.52
1102.028,10.88343328,-0.52,0.879983877,-14.9
1103.56,8.575908115,-14.9,-2.307525167,-3.52
1103.14,9.220206071,-3.52,0.644297956,14.86
1102.528,8.801143108,14.86,-0.419062964,-0.59
1101.594,7.97668979,-0.59,-0.824453318,4.98
1101.76,8.195782452,4.98,0.219092662,-19.14
1101.078,9.01070308,-19.14,0.814920628,4.14
1101.928,8.012304288,4.14,-0.998398792,13.23
1102.452,8.439112513,13.23,0.426808225,0.38
1103.17,8.918332243,0.38,0.479219731,-9.32
1101.028,7.907538808,-9.32,-1.010793435,6.06
1103.926,5.951334304,6.06,-1.956204504,-2.73
1105.45,3.92727641,-2.73,-2.024057894,-11.31
1102.066,6.620587587,-11.31,2.693311177,4.01
1099.408,5.611218228,4.01,-1.009369359,6.4
1099.894,5.769647303,6.4,0.158429075,4.06
1099.98,5.885091333,4.06,0.11544403,7.7
1102.152,8.716554365,7.7,2.831463032,-6.18
1105.35,6.743100177,-6.18,-1.973454188,1.25
1107.996,4.277263144,1.25,-2.465837034,-13.1
1106.742,6.622519913,-13.1,2.345256769,6.39
1105.954,6.900473172,6.39,0.277953259,11.58
1105.942,6.882773424,11.58,-0.017699749,3.97
1107.96,8.818370031,3.97,1.935596607,2.57
1110.242,10.52432278,2.57,1.70595275,5.89
1116.322,8.962754599,5.89,-1.561568182,1.3
1121.384,5.757875476,1.3,-3.204879123,-1.58
1123.814,4.257179818,-1.58,-1.500695659,0.22
1125.494,2.810832617,0.22,-1.446347201,-11.32
1124.396,5.233572394,-11.32,2.422739777,17.89
1125.698,6.53067531,17.89,1.297102916,3.53
1127.446,8.18691517,3.53,1.65623986,0.62
1129.634,9.17314995,0.62,0.98623478,4.55
1132.688,10.30739395,4.55,1.134243998,3.29
1138.664,4.694734284,3.29,-5.612659664,2
1141.462,4.636261425,2,-0.058472859,-10.76
1141.402,4.717437864,-10.76,0.081176439,9.46
1143.11,4.317615082,9.46,-0.399822781,2.78
1144.464,4.796006672,2.78,0.47839159,-12.43
1142.674,6.059131951,-12.43,1.263125279,14.2
1143.324,6.769256237,14.2,0.710124286,-12.19
1143.688,6.326189216,-12.19,-0.443067021,-21.56
1137.848,13.470912,-21.56,7.14472278,-24.72
1126.508,22.88216052,-24.72,9.411248523,5.02
1118.658,25.39363149,5.02,2.511470966,-4.61
1107.046,20.06225511,-4.61,-5.331376378,5.33
1098.938,10.14613325,5.33,-9.916121854,-12.97
1092.548,5.183731282,-12.97,-4.962401972,-10.66
1088.97,9.89596635,-10.66,4.712235068,15.32
1087.452,8.933802102,15.32,-0.962164248,14.13
1089.682,11.44465683,14.13,2.51085473,-6.04
1089.638,11.40744801,-6.04,-0.037208826,-34.17
1085.354,16.63129069,-34.17,5.223842684,3.08
1083.818,18.23444186,3.08,1.603151172,-9.45
1077.328,21.35262677,-9.45,3.118184909,13.78
1070.768,15.64716811,13.78,-5.705458656,-2.39
1064.938,5.325971273,-2.39,-10.32119684,10.34
1068.01,7.843012814,10.34,2.517041541,-2.96
1069.874,8.390716894,-2.96,0.54770408,19.36
1077.5,10.52538835,19.36,2.13467146,4.64
1083.298,13.33014329,4.64,2.804754931,7.24
1091.022,13.53142712,7.24,0.201283839,2.42
1097.162,13.37625957,2.42,-0.155167557,-1.16
1103.662,6.191067759,-1.16,-7.185191808,-13.41
1103.608,6.287353974,-13.41,0.096286215,10.64
1104.754,5.861452892,10.64,-0.425901083,-2.3
1103.992,5.784243252,-2.3,-0.077209639,1.55
1103.056,5.071629916,1.55,-0.712613337,11.22
1104.596,7.526774209,11.22,2.455144294,2.6
1109.338,7.112142434,2.6,-0.414631776,0.48
1112.048,7.716159667,0.48,0.604017233,4.18
1116.054,6.968692847,4.18,-0.747466819,15.73
1122.896,9.210064061,15.73,2.241371213,-0.2
1127.454,10.33526149,-0.2,1.125197426,1.95
1131.882,10.17985609,1.95,-0.155405397,5.16
1137.246,8.481051232,5.16,-1.698804857,4.63
1142.7,5.099563707,4.63,-3.381487525,-0.25
1144.958,5.377580311,-0.25,0.278016604,0.52
1147.36,4.357304212,0.52,-1.020276098,8.95
1151.162,5.05792151,8.95,0.700617297,6.75
1155.282,7.298559447,6.75,2.240637937,-0.38
1158.4,7.910511994,-0.38,0.611952547,-5.93
1160.382,6.367595307,-5.93,-1.542916686,5.91
1163.442,3.441434294,5.91,-2.926161013,8.36
1166.384,5.082585956,8.36,1.641151662,-6.45
1166.686,5.114423721,-6.45,0.031837765,-1.99
1166.666,5.118801618,-1.99,0.004377896,0.86
1168.004,3.538513812,0.86,-1.580287805,6.63
